,No,PR No,PR Url,PR Status,PR Contributors,Active PR Time,Active time(in Seconds)
17,0,17,https://github.com//HarshCasper/Rotten-Scripts/pull/1207,Merged,"['Sukriti-sood', 'HarshCasper']",0 days 18:45:00.000000000,67500.0
18,1,18,https://github.com//HarshCasper/Rotten-Scripts/pull/1202,Merged,"['rutujaingole', 'HarshCasper']",2 days 23:44:56.000000000,258296.0
20,2,20,https://github.com//HarshCasper/Rotten-Scripts/pull/1199,Merged,"['AliHaider20', 'HarshCasper']",0 days 21:47:13.000000000,78433.0
21,3,21,https://github.com//HarshCasper/Rotten-Scripts/pull/1198,Merged,['HarshCasper'],0 days 00:00:47.000000000,47.0
23,4,23,https://github.com//HarshCasper/Rotten-Scripts/pull/1190,Merged,"['YashKandalkar', 'HarshCasper', 'RohiniRG']",7 days 20:59:40.000000000,680380.0
27,5,27,https://github.com//HarshCasper/Rotten-Scripts/pull/1185,Merged,"['Sukriti-sood', 'HarshCasper']",0 days 19:20:41.000000000,69641.0
28,6,28,https://github.com//HarshCasper/Rotten-Scripts/pull/1184,Merged,"['Sukriti-sood', 'HarshCasper', 'iamakkkhil']",25 days 08:17:46.000000000,2189866.0
29,7,29,https://github.com//HarshCasper/Rotten-Scripts/pull/1182,Merged,"['Sukriti-sood', 'HarshCasper']",0 days 01:32:21.000000000,5541.0
31,8,31,https://github.com//HarshCasper/Rotten-Scripts/pull/1178,Merged,"['Cosine42', 'HarshCasper']",0 days 01:50:51.000000000,6651.0
32,9,32,https://github.com//HarshCasper/Rotten-Scripts/pull/1177,Merged,"['sumitgsh', 'HarshCasper']",26 days 09:36:00.000000000,2280960.0
34,10,34,https://github.com//HarshCasper/Rotten-Scripts/pull/1175,Merged,"['kadatatlukishore', 'vybhav72954', 'HarshCasper']",4 days 15:56:22.000000000,402982.0
35,11,35,https://github.com//HarshCasper/Rotten-Scripts/pull/1174,Merged,"['Sukriti-sood', 'HarshCasper']",1 days 13:14:16.000000000,134056.0
42,12,42,https://github.com//HarshCasper/Rotten-Scripts/pull/1161,Merged,"['YASHIKA791', 'HarshCasper']",0 days 06:53:00.000000000,24780.0
43,13,43,https://github.com//HarshCasper/Rotten-Scripts/pull/1160,Merged,"['Umesh-01', 'iamakkkhil', 'HarshCasper', 'vybhav72954', 'RohiniRG']",17 days 11:07:41.000000000,1508861.0
44,14,44,https://github.com//HarshCasper/Rotten-Scripts/pull/1156,Merged,"['tanvi355', 'iamakkkhil', 'HarshCasper', 'vybhav72954', 'Kumaravinash9', 'RohiniRG']",36 days 20:08:27.000000000,3182907.0
45,15,45,https://github.com//HarshCasper/Rotten-Scripts/pull/1154,Merged,[],0 days 01:06:21.000000000,3981.0
50,16,50,https://github.com//HarshCasper/Rotten-Scripts/pull/1139,Merged,[],0 days 00:02:20.000000000,140.0
51,17,51,https://github.com//HarshCasper/Rotten-Scripts/pull/1138,Merged,[],0 days 10:59:56.000000000,39596.0
52,18,52,https://github.com//HarshCasper/Rotten-Scripts/pull/1136,Merged,[],0 days 00:00:30.000000000,30.0
53,19,53,https://github.com//HarshCasper/Rotten-Scripts/pull/1135,Merged,[],0 days 00:00:17.000000000,17.0
54,20,54,https://github.com//HarshCasper/Rotten-Scripts/pull/1134,Merged,[],0 days 00:02:25.000000000,145.0
55,21,55,https://github.com//HarshCasper/Rotten-Scripts/pull/1132,Merged,[],0 days 02:49:15.000000000,10155.0
56,22,56,https://github.com//HarshCasper/Rotten-Scripts/pull/1131,Merged,[],0 days 08:40:18.000000000,31218.0
62,23,62,https://github.com//HarshCasper/Rotten-Scripts/pull/1124,Merged,[],24 days 14:36:40.000000000,2126200.0
63,24,63,https://github.com//HarshCasper/Rotten-Scripts/pull/1121,Merged,[],0 days 00:00:20.000000000,20.0
64,25,64,https://github.com//HarshCasper/Rotten-Scripts/pull/1120,Merged,[],0 days 00:00:43.000000000,43.0
65,26,65,https://github.com//HarshCasper/Rotten-Scripts/pull/1119,Merged,[],0 days 00:00:44.000000000,44.0
66,27,66,https://github.com//HarshCasper/Rotten-Scripts/pull/1118,Merged,[],0 days 00:00:39.000000000,39.0
67,28,67,https://github.com//HarshCasper/Rotten-Scripts/pull/1116,Merged,"['Umesh-01', 'HarshCasper']",0 days 18:35:37.000000000,66937.0
77,29,77,https://github.com//HarshCasper/Rotten-Scripts/pull/1092,Merged,"['RohiniRG', 'HarshCasper']",0 days 00:41:41.000000000,2501.0
78,30,78,https://github.com//HarshCasper/Rotten-Scripts/pull/1090,Merged,"['RohiniRG', 'HarshCasper']",0 days 02:08:09.000000000,7689.0
79,31,79,https://github.com//HarshCasper/Rotten-Scripts/pull/1089,Merged,"['Sukriti-sood', 'HarshCasper']",34 days 23:42:17.000000000,3022937.0
80,32,80,https://github.com//HarshCasper/Rotten-Scripts/pull/1088,Merged,"['Sukriti-sood', 'HarshCasper']",35 days 05:28:07.000000000,3043687.0
89,33,89,https://github.com//HarshCasper/Rotten-Scripts/pull/1072,Merged,"['Sukriti-sood', 'HarshCasper']",43 days 03:51:48.000000000,3729108.0
91,34,91,https://github.com//HarshCasper/Rotten-Scripts/pull/1067,Merged,"['N-Shar-ma', 'sohamsshah', 'HarshCasper']",16 days 07:58:24.000000000,1411104.0
93,35,93,https://github.com//HarshCasper/Rotten-Scripts/pull/1065,Merged,"['iamakkkhil', 'HarshCasper', 'vybhav72954']",13 days 22:18:01.000000000,1203481.0
94,36,94,https://github.com//HarshCasper/Rotten-Scripts/pull/1063,Merged,"['RohiniRG', 'HarshCasper', 'vybhav72954']",16 days 06:38:06.000000000,1406286.0
95,37,95,https://github.com//HarshCasper/Rotten-Scripts/pull/1062,Merged,"['tanishq-arya', 'vybhav72954', 'HarshCasper']",28 days 23:16:07.000000000,2502967.0
96,38,96,https://github.com//HarshCasper/Rotten-Scripts/pull/1061,Merged,"['Manasi2001', 'vybhav72954']",4 days 10:15:58.000000000,382558.0
97,39,97,https://github.com//HarshCasper/Rotten-Scripts/pull/1060,Merged,"['jhamadhav', 'HarshCasper', 'vybhav72954']",37 days 15:06:30.000000000,3251190.0
99,40,99,https://github.com//HarshCasper/Rotten-Scripts/pull/1058,Merged,['vybhav72954'],0 days 16:49:42.000000000,60582.0
100,41,100,https://github.com//HarshCasper/Rotten-Scripts/pull/1057,Merged,['vybhav72954'],0 days 16:50:05.000000000,60605.0
101,42,101,https://github.com//HarshCasper/Rotten-Scripts/pull/1056,Merged,['vybhav72954'],0 days 16:50:28.000000000,60628.0
102,43,102,https://github.com//HarshCasper/Rotten-Scripts/pull/1055,Merged,['vybhav72954'],0 days 16:56:17.000000000,60977.0
103,44,103,https://github.com//HarshCasper/Rotten-Scripts/pull/1054,Merged,['vybhav72954'],0 days 16:58:26.000000000,61106.0
104,45,104,https://github.com//HarshCasper/Rotten-Scripts/pull/1052,Merged,['HarshCasper'],0 days 00:00:39.000000000,39.0
110,46,110,https://github.com//HarshCasper/Rotten-Scripts/pull/1040,Merged,"['Sukriti-sood', 'vybhav72954']",67 days 02:00:06.000000000,5796006.0
111,47,111,https://github.com//HarshCasper/Rotten-Scripts/pull/1039,Merged,[],30 days 02:19:39.000000000,2600379.0
112,48,112,https://github.com//HarshCasper/Rotten-Scripts/pull/1038,Merged,[],30 days 02:20:05.000000000,2600405.0
113,49,113,https://github.com//HarshCasper/Rotten-Scripts/pull/1037,Merged,[],0 days 00:00:21.000000000,21.0
114,50,114,https://github.com//HarshCasper/Rotten-Scripts/pull/1036,Merged,[],0 days 00:00:09.000000000,9.0
115,51,115,https://github.com//HarshCasper/Rotten-Scripts/pull/1035,Merged,[],0 days 00:00:11.000000000,11.0
116,52,116,https://github.com//HarshCasper/Rotten-Scripts/pull/1034,Merged,[],0 days 00:00:11.000000000,11.0
117,53,117,https://github.com//HarshCasper/Rotten-Scripts/pull/1033,Merged,[],0 days 00:00:17.000000000,17.0
118,54,118,https://github.com//HarshCasper/Rotten-Scripts/pull/1032,Merged,[],3 days 19:29:52.000000000,329392.0
120,55,120,https://github.com//HarshCasper/Rotten-Scripts/pull/1030,Merged,[],0 days 00:03:08.000000000,188.0
121,56,121,https://github.com//HarshCasper/Rotten-Scripts/pull/1029,Merged,[],12 days 21:36:15.000000000,1114575.0
123,57,123,https://github.com//HarshCasper/Rotten-Scripts/pull/1027,Merged,[],23 days 03:18:26.000000000,1999106.0
125,58,125,https://github.com//HarshCasper/Rotten-Scripts/pull/1024,Merged,[],18 days 18:03:17.000000000,1620197.0
126,59,126,https://github.com//HarshCasper/Rotten-Scripts/pull/1017,Merged,[],6 days 10:32:28.000000000,556348.0
127,60,127,https://github.com//HarshCasper/Rotten-Scripts/pull/1016,Merged,[],21 days 10:32:00.000000000,1852320.0
128,61,128,https://github.com//HarshCasper/Rotten-Scripts/pull/1015,Merged,[],20 days 00:47:37.000000000,1730857.0
129,62,129,https://github.com//HarshCasper/Rotten-Scripts/pull/1014,Merged,[],20 days 19:13:38.000000000,1797218.0
130,63,130,https://github.com//HarshCasper/Rotten-Scripts/pull/1012,Merged,[],2 days 05:12:38.000000000,191558.0
131,64,131,https://github.com//HarshCasper/Rotten-Scripts/pull/1010,Merged,[],1 days 19:41:21.000000000,157281.0
132,65,132,https://github.com//HarshCasper/Rotten-Scripts/pull/1009,Merged,[],0 days 17:06:45.000000000,61605.0
133,66,133,https://github.com//HarshCasper/Rotten-Scripts/pull/1007,Merged,[],1 days 07:05:44.000000000,111944.0
134,67,134,https://github.com//HarshCasper/Rotten-Scripts/pull/1001,Merged,[],8 days 19:20:36.000000000,760836.0
136,68,136,https://github.com//HarshCasper/Rotten-Scripts/pull/997,Merged,[],0 days 00:00:15.000000000,15.0
138,69,138,https://github.com//HarshCasper/Rotten-Scripts/pull/992,Merged,[],24 days 16:51:21.000000000,2134281.0
141,70,141,https://github.com//HarshCasper/Rotten-Scripts/pull/986,Merged,"['jhamadhav', 'HarshCasper']",7 days 04:07:08.000000000,619628.0
142,71,142,https://github.com//HarshCasper/Rotten-Scripts/pull/985,Merged,"['neha07kumari', 'vybhav72954']",29 days 16:21:54.000000000,2564514.0
143,72,143,https://github.com//HarshCasper/Rotten-Scripts/pull/984,Merged,"['RohiniRG', 'vybhav72954']",7 days 02:52:17.000000000,615137.0
144,73,144,https://github.com//HarshCasper/Rotten-Scripts/pull/983,Merged,"['Sukriti-sood', 'HarshCasper', 'vybhav72954', 'sohamsshah']",11 days 23:11:52.000000000,1033912.0
149,74,149,https://github.com//HarshCasper/Rotten-Scripts/pull/971,Merged,"['ShubhamGupta577', 'sohamsshah', 'HarshCasper', 'vybhav72954']",15 days 03:24:27.000000000,1308267.0
150,75,150,https://github.com//HarshCasper/Rotten-Scripts/pull/970,Merged,['HarshCasper'],0 days 00:00:40.000000000,40.0
151,76,151,https://github.com//HarshCasper/Rotten-Scripts/pull/969,Merged,"['VanTekken', 'HarshCasper']",0 days 04:08:31.000000000,14911.0
154,77,154,https://github.com//HarshCasper/Rotten-Scripts/pull/964,Merged,['HarshCasper'],0 days 00:00:53.000000000,53.0
156,78,156,https://github.com//HarshCasper/Rotten-Scripts/pull/962,Merged,"['NovusEdge', 'HarshCasper']",0 days 11:02:40.000000000,39760.0
157,79,157,https://github.com//HarshCasper/Rotten-Scripts/pull/961,Merged,['vybhav72954'],1 days 00:13:17.000000000,87197.0
158,80,158,https://github.com//HarshCasper/Rotten-Scripts/pull/960,Merged,['vybhav72954'],0 days 00:01:34.000000000,94.0
159,81,159,https://github.com//HarshCasper/Rotten-Scripts/pull/959,Merged,['vybhav72954'],0 days 00:00:22.000000000,22.0
160,82,160,https://github.com//HarshCasper/Rotten-Scripts/pull/954,Merged,['vybhav72954'],0 days 00:00:30.000000000,30.0
161,83,161,https://github.com//HarshCasper/Rotten-Scripts/pull/953,Merged,['vybhav72954'],0 days 00:00:51.000000000,51.0
162,84,162,https://github.com//HarshCasper/Rotten-Scripts/pull/952,Merged,['vybhav72954'],0 days 00:02:15.000000000,135.0
163,85,163,https://github.com//HarshCasper/Rotten-Scripts/pull/951,Merged,"['rahulraikwar00', 'vybhav72954', 'HarshCasper']",3 days 18:50:11.000000000,327011.0
164,86,164,https://github.com//HarshCasper/Rotten-Scripts/pull/950,Merged,"['Naman-1234', 'HarshCasper', 'rahulraikwar00', 'sohamsshah', 'vybhav72954']",21 days 15:52:36.000000000,1871556.0
165,87,165,https://github.com//HarshCasper/Rotten-Scripts/pull/949,Merged,"['Jaideep07', 'HarshCasper', 'vybhav72954']",8 days 21:06:00.000000000,767160.0
167,88,167,https://github.com//HarshCasper/Rotten-Scripts/pull/945,Merged,"['sourabhkumar45', 'HarshCasper', 'sohamsshah', 'vybhav72954']",12 days 08:57:51.000000000,1069071.0
168,89,168,https://github.com//HarshCasper/Rotten-Scripts/pull/941,Merged,"['iamakkkhil', 'HarshCasper', 'vybhav72954']",3 days 13:49:17.000000000,308957.0
169,90,169,https://github.com//HarshCasper/Rotten-Scripts/pull/940,Merged,"['jhamadhav', 'vybhav72954', 'HarshCasper']",10 days 17:48:40.000000000,928120.0
170,91,170,https://github.com//HarshCasper/Rotten-Scripts/pull/939,Merged,"['piall', 'HarshCasper', 'sohamsshah', 'vybhav72954']",5 days 06:25:32.000000000,455132.0
171,92,171,https://github.com//HarshCasper/Rotten-Scripts/pull/938,Merged,"['manas221', 'HarshCasper', 'vybhav72954']",9 days 07:56:19.000000000,806179.0
173,93,173,https://github.com//HarshCasper/Rotten-Scripts/pull/936,Merged,"['rahulraikwar00', 'vybhav72954', 'HarshCasper']",6 days 20:53:09.000000000,593589.0
177,94,177,https://github.com//HarshCasper/Rotten-Scripts/pull/922,Merged,[],0 days 16:50:18.000000000,60618.0
179,95,179,https://github.com//HarshCasper/Rotten-Scripts/pull/918,Merged,[],21 days 20:54:12.000000000,1889652.0
180,96,180,https://github.com//HarshCasper/Rotten-Scripts/pull/916,Merged,[],29 days 01:56:58.000000000,2512618.0
183,97,183,https://github.com//HarshCasper/Rotten-Scripts/pull/911,Merged,[],0 days 00:10:20.000000000,620.0
184,98,184,https://github.com//HarshCasper/Rotten-Scripts/pull/910,Merged,[],0 days 00:19:47.000000000,1187.0
185,99,185,https://github.com//HarshCasper/Rotten-Scripts/pull/909,Merged,[],0 days 00:00:12.000000000,12.0
186,100,186,https://github.com//HarshCasper/Rotten-Scripts/pull/908,Merged,[],0 days 00:00:17.000000000,17.0
187,101,187,https://github.com//HarshCasper/Rotten-Scripts/pull/907,Merged,[],0 days 00:00:23.000000000,23.0
189,102,189,https://github.com//HarshCasper/Rotten-Scripts/pull/905,Merged,[],4 days 12:04:32.000000000,389072.0
190,103,190,https://github.com//HarshCasper/Rotten-Scripts/pull/903,Merged,[],51 days 21:24:31.000000000,4483471.0
191,104,191,https://github.com//HarshCasper/Rotten-Scripts/pull/902,Merged,[],43 days 22:43:47.000000000,3797027.0
194,105,194,https://github.com//HarshCasper/Rotten-Scripts/pull/898,Merged,[],1 days 01:37:28.000000000,92248.0
195,106,195,https://github.com//HarshCasper/Rotten-Scripts/pull/897,Merged,[],3 days 20:57:34.000000000,334654.0
196,107,196,https://github.com//HarshCasper/Rotten-Scripts/pull/896,Merged,[],38 days 18:38:41.000000000,3350321.0
197,108,197,https://github.com//HarshCasper/Rotten-Scripts/pull/894,Merged,[],1 days 17:39:06.000000000,149946.0
203,109,203,https://github.com//HarshCasper/Rotten-Scripts/pull/887,Merged,[],6 days 23:06:09.000000000,601569.0
206,110,206,https://github.com//HarshCasper/Rotten-Scripts/pull/882,Merged,[],7 days 23:59:54.000000000,691194.0
209,111,209,https://github.com//HarshCasper/Rotten-Scripts/pull/878,Merged,[],9 days 00:33:51.000000000,779631.0
210,112,210,https://github.com//HarshCasper/Rotten-Scripts/pull/877,Merged,[],1 days 01:57:43.000000000,93463.0
211,113,211,https://github.com//HarshCasper/Rotten-Scripts/pull/876,Merged,[],2 days 06:52:37.000000000,197557.0
214,114,214,https://github.com//HarshCasper/Rotten-Scripts/pull/873,Merged,[],11 days 18:40:32.000000000,1017632.0
215,115,215,https://github.com//HarshCasper/Rotten-Scripts/pull/871,Merged,[],3 days 11:16:37.000000000,299797.0
216,116,216,https://github.com//HarshCasper/Rotten-Scripts/pull/868,Merged,"['aaadddiii', 'vybhav72954', 'HarshCasper']",55 days 03:55:22.000000000,4766122.0
223,117,223,https://github.com//HarshCasper/Rotten-Scripts/pull/859,Merged,"['DiegoCaraballo', 'HarshCasper', 'sohamsshah', 'vybhav72954']",5 days 11:01:06.000000000,471666.0
225,118,225,https://github.com//HarshCasper/Rotten-Scripts/pull/855,Merged,"['SmritiAgrawal04', 'vybhav72954', 'HarshCasper']",16 days 00:16:38.000000000,1383398.0
226,119,226,https://github.com//HarshCasper/Rotten-Scripts/pull/854,Merged,"['deepthiteki', 'vybhav72954', 'HarshCasper']",16 days 05:51:11.000000000,1403471.0
228,120,228,https://github.com//HarshCasper/Rotten-Scripts/pull/852,Merged,"['RohiniRG', 'HarshCasper', 'vybhav72954', 'Siddhant-K-code']",4 days 09:12:35.000000000,378755.0
229,121,229,https://github.com//HarshCasper/Rotten-Scripts/pull/851,Merged,"['iamakkkhil', 'HarshCasper', 'vybhav72954']",5 days 20:08:45.000000000,504525.0
230,122,230,https://github.com//HarshCasper/Rotten-Scripts/pull/850,Merged,"['priyanshu20', 'vybhav72954']",6 days 13:05:42.000000000,565542.0
231,123,231,https://github.com//HarshCasper/Rotten-Scripts/pull/848,Merged,"['sakar97', 'HarshCasper', 'vybhav72954']",16 days 19:52:02.000000000,1453922.0
233,124,233,https://github.com//HarshCasper/Rotten-Scripts/pull/845,Merged,"['kshittijagrawal', 'vybhav72954', 'HarshCasper', 'sohamsshah']",9 days 18:25:44.000000000,843944.0
234,125,234,https://github.com//HarshCasper/Rotten-Scripts/pull/844,Merged,"['SSHREYA71', 'vybhav72954', 'HarshCasper']",17 days 20:53:37.000000000,1544017.0
235,126,235,https://github.com//HarshCasper/Rotten-Scripts/pull/840,Merged,"['Subhangini', 'seema1711', 'vybhav72954', 'sohamsshah', 'HarshCasper']",5 days 20:32:15.000000000,505935.0
236,127,236,https://github.com//HarshCasper/Rotten-Scripts/pull/839,Merged,"['pganguli', 'vybhav72954', 'HarshCasper', 'seema1711']",10 days 19:09:08.000000000,932948.0
237,128,237,https://github.com//HarshCasper/Rotten-Scripts/pull/836,Merged,"['Priya730', 'vybhav72954']",4 days 09:50:10.000000000,381010.0
238,129,238,https://github.com//HarshCasper/Rotten-Scripts/pull/835,Merged,"['aish2002', 'vybhav72954', 'sohamsshah', 'HarshCasper']",6 days 20:33:03.000000000,592383.0
240,130,240,https://github.com//HarshCasper/Rotten-Scripts/pull/829,Merged,"['pi-squared-4', 'vybhav72954']",26 days 13:48:31.000000000,2296111.0
242,131,242,https://github.com//HarshCasper/Rotten-Scripts/pull/827,Merged,"['haripriya9647', 'vybhav72954', 'HarshCasper']",2 days 01:12:42.000000000,177162.0
246,132,246,https://github.com//HarshCasper/Rotten-Scripts/pull/814,Merged,"['pganguli', 'HarshCasper', 'vybhav72954']",92 days 19:54:37.000000000,8020477.0
248,133,248,https://github.com//HarshCasper/Rotten-Scripts/pull/812,Merged,[],0 days 00:42:49.000000000,2569.0
249,134,249,https://github.com//HarshCasper/Rotten-Scripts/pull/804,Merged,[],43 days 17:58:01.000000000,3779881.0
250,135,250,https://github.com//HarshCasper/Rotten-Scripts/pull/803,Merged,[],0 days 01:20:15.000000000,4815.0
253,136,253,https://github.com//HarshCasper/Rotten-Scripts/pull/798,Merged,[],0 days 05:10:54.000000000,18654.0
254,137,254,https://github.com//HarshCasper/Rotten-Scripts/pull/797,Merged,[],0 days 10:41:08.000000000,38468.0
255,138,255,https://github.com//HarshCasper/Rotten-Scripts/pull/795,Merged,[],27 days 09:34:43.000000000,2367283.0
256,139,256,https://github.com//HarshCasper/Rotten-Scripts/pull/794,Merged,[],0 days 19:12:05.000000000,69125.0
258,140,258,https://github.com//HarshCasper/Rotten-Scripts/pull/791,Merged,[],0 days 00:00:47.000000000,47.0
259,141,259,https://github.com//HarshCasper/Rotten-Scripts/pull/788,Merged,[],15 days 20:15:49.000000000,1368949.0
260,142,260,https://github.com//HarshCasper/Rotten-Scripts/pull/787,Merged,[],73 days 23:48:12.000000000,6392892.0
262,143,262,https://github.com//HarshCasper/Rotten-Scripts/pull/784,Merged,[],0 days 00:00:22.000000000,22.0
263,144,263,https://github.com//HarshCasper/Rotten-Scripts/pull/783,Merged,[],0 days 00:00:30.000000000,30.0
264,145,264,https://github.com//HarshCasper/Rotten-Scripts/pull/782,Merged,[],7 days 22:58:37.000000000,687517.0
266,146,266,https://github.com//HarshCasper/Rotten-Scripts/pull/778,Merged,[],7 days 22:35:15.000000000,686115.0
267,147,267,https://github.com//HarshCasper/Rotten-Scripts/pull/777,Merged,[],38 days 18:34:39.000000000,3350079.0
268,148,268,https://github.com//HarshCasper/Rotten-Scripts/pull/776,Merged,[],39 days 04:00:17.000000000,3384017.0
271,149,271,https://github.com//HarshCasper/Rotten-Scripts/pull/772,Merged,[],42 days 05:50:49.000000000,3649849.0
272,150,272,https://github.com//HarshCasper/Rotten-Scripts/pull/769,Merged,[],34 days 16:39:26.000000000,2997566.0
