,No,PR No,PR Url,PR Status,PR Contributors,Active PR Time,Active time(in Seconds)
515,296,515,https://github.com//HarshCasper/Rotten-Scripts/pull/329,Merged,"['kaustubhgupta', 'srimani-programmer']",2 days 17:13:38.000000000,234818.0
516,297,516,https://github.com//HarshCasper/Rotten-Scripts/pull/326,Merged,"['sameersrivastava13', 'srimani-programmer']",4 days 21:48:36.000000000,424116.0
517,298,517,https://github.com//HarshCasper/Rotten-Scripts/pull/324,Merged,"['Namyalg', 'HarshCasper', 'srimani-programmer']",8 days 08:24:54.000000000,721494.0
518,299,518,https://github.com//HarshCasper/Rotten-Scripts/pull/322,Merged,"['sharur7', 'srimani-programmer']",1 days 00:38:29.000000000,88709.0
519,300,519,https://github.com//HarshCasper/Rotten-Scripts/pull/321,Merged,"['Namyalg', 'srimani-programmer', 'HarshCasper']",9 days 09:57:45.000000000,813465.0
520,301,520,https://github.com//HarshCasper/Rotten-Scripts/pull/320,Merged,[],8 days 04:40:06.000000000,708006.0
521,302,521,https://github.com//HarshCasper/Rotten-Scripts/pull/317,Merged,[],10 days 16:44:40.000000000,924280.0
522,303,522,https://github.com//HarshCasper/Rotten-Scripts/pull/316,Merged,[],3 days 09:07:27.000000000,292047.0
524,304,524,https://github.com//HarshCasper/Rotten-Scripts/pull/314,Merged,[],0 days 19:34:20.000000000,70460.0
525,305,525,https://github.com//HarshCasper/Rotten-Scripts/pull/313,Merged,[],0 days 11:13:53.000000000,40433.0
528,306,528,https://github.com//HarshCasper/Rotten-Scripts/pull/310,Merged,[],23 days 16:37:59.000000000,2047079.0
530,307,530,https://github.com//HarshCasper/Rotten-Scripts/pull/308,Merged,[],0 days 16:37:29.000000000,59849.0
534,308,534,https://github.com//HarshCasper/Rotten-Scripts/pull/304,Merged,[],1 days 11:24:59.000000000,127499.0
535,309,535,https://github.com//HarshCasper/Rotten-Scripts/pull/303,Merged,[],8 days 00:05:19.000000000,691519.0
536,310,536,https://github.com//HarshCasper/Rotten-Scripts/pull/297,Merged,[],0 days 01:18:57.000000000,4737.0
537,311,537,https://github.com//HarshCasper/Rotten-Scripts/pull/293,Merged,[],0 days 07:47:23.000000000,28043.0
539,312,539,https://github.com//HarshCasper/Rotten-Scripts/pull/287,Merged,[],0 days 02:58:48.000000000,10728.0
540,313,540,https://github.com//HarshCasper/Rotten-Scripts/pull/280,Merged,[],12 days 04:39:21.000000000,1053561.0
541,314,541,https://github.com//HarshCasper/Rotten-Scripts/pull/277,Merged,[],3 days 04:39:42.000000000,275982.0
542,315,542,https://github.com//HarshCasper/Rotten-Scripts/pull/273,Merged,"['tejan-singh', 'HarshCasper']",0 days 13:20:14.000000000,48014.0
543,316,543,https://github.com//HarshCasper/Rotten-Scripts/pull/272,Merged,"['AkM-2018', 'HarshCasper']",0 days 13:17:22.000000000,47842.0
544,317,544,https://github.com//HarshCasper/Rotten-Scripts/pull/271,Merged,"['kaustubhgupta', 'HarshCasper']",4 days 19:11:20.000000000,414680.0
545,318,545,https://github.com//HarshCasper/Rotten-Scripts/pull/270,Merged,"['AdityaAshvin', 'HarshCasper']",0 days 18:49:25.000000000,67765.0
546,319,546,https://github.com//HarshCasper/Rotten-Scripts/pull/269,Merged,"['AdityaJ7', 'HarshCasper']",0 days 20:52:15.000000000,75135.0
548,320,548,https://github.com//HarshCasper/Rotten-Scripts/pull/267,Merged,"['avinashkranjan', 'HarshCasper']",14 days 05:35:49.000000000,1229749.0
549,321,549,https://github.com//HarshCasper/Rotten-Scripts/pull/266,Merged,"['AdityaJ7', 'HarshCasper']",1 days 02:46:22.000000000,96382.0
550,322,550,https://github.com//HarshCasper/Rotten-Scripts/pull/264,Merged,"['AdityaJ7', 'HarshCasper']",0 days 05:24:46.000000000,19486.0
554,323,554,https://github.com//HarshCasper/Rotten-Scripts/pull/255,Merged,"['HeroicHitesh', 'HarshCasper']",1 days 04:30:02.000000000,102602.0
558,324,558,https://github.com//HarshCasper/Rotten-Scripts/pull/249,Merged,['HarshCasper'],27 days 21:38:57.000000000,2410737.0
559,325,559,https://github.com//HarshCasper/Rotten-Scripts/pull/248,Merged,"['Namyalg', 'HarshCasper']",1 days 09:17:38.000000000,119858.0
560,326,560,https://github.com//HarshCasper/Rotten-Scripts/pull/247,Merged,"['Prahitha', 'HarshCasper']",1 days 11:45:41.000000000,128741.0
561,327,561,https://github.com//HarshCasper/Rotten-Scripts/pull/245,Merged,"['Prahitha', 'HarshCasper']",1 days 11:51:45.000000000,129105.0
563,328,563,https://github.com//HarshCasper/Rotten-Scripts/pull/242,Merged,"['Prahitha', 'HarshCasper']",1 days 12:35:19.000000000,131719.0
564,329,564,https://github.com//HarshCasper/Rotten-Scripts/pull/239,Merged,"['avinashkranjan', 'HarshCasper']",1 days 22:04:07.000000000,165847.0
565,330,565,https://github.com//HarshCasper/Rotten-Scripts/pull/238,Merged,"['amandp13', 'HarshCasper']",2 days 11:17:22.000000000,213442.0
567,331,567,https://github.com//HarshCasper/Rotten-Scripts/pull/236,Merged,"['kaustubhgupta', 'HarshCasper']",2 days 23:21:43.000000000,256903.0
568,332,568,https://github.com//HarshCasper/Rotten-Scripts/pull/234,Merged,"['Puneet-Pal-Singh', 'HarshCasper']",2 days 13:58:09.000000000,223089.0
569,333,569,https://github.com//HarshCasper/Rotten-Scripts/pull/232,Merged,"['AkM-2018', 'HarshCasper']",0 days 17:40:41.000000000,63641.0
570,334,570,https://github.com//HarshCasper/Rotten-Scripts/pull/229,Merged,['HarshCasper'],0 days 00:00:19.000000000,19.0
571,335,571,https://github.com//HarshCasper/Rotten-Scripts/pull/226,Merged,['HarshCasper'],31 days 16:11:58.000000000,2736718.0
572,336,572,https://github.com//HarshCasper/Rotten-Scripts/pull/225,Merged,['HarshCasper'],31 days 16:13:12.000000000,2736792.0
573,337,573,https://github.com//HarshCasper/Rotten-Scripts/pull/224,Merged,['HarshCasper'],0 days 00:00:28.000000000,28.0
574,338,574,https://github.com//HarshCasper/Rotten-Scripts/pull/223,Merged,['HarshCasper'],31 days 16:15:40.000000000,2736940.0
575,339,575,https://github.com//HarshCasper/Rotten-Scripts/pull/222,Merged,"['AkM-2018', 'HarshCasper']",4 days 13:03:23.000000000,392603.0
576,340,576,https://github.com//HarshCasper/Rotten-Scripts/pull/221,Merged,"['aastha985', 'HarshCasper']",4 days 18:42:47.000000000,412967.0
578,341,578,https://github.com//HarshCasper/Rotten-Scripts/pull/219,Merged,"['kaustubhgupta', 'HarshCasper']",1 days 02:19:13.000000000,94753.0
580,342,580,https://github.com//HarshCasper/Rotten-Scripts/pull/217,Merged,"['bagofcodes', 'HarshCasper']",5 days 23:26:32.000000000,516392.0
581,343,581,https://github.com//HarshCasper/Rotten-Scripts/pull/216,Merged,"['sameersrivastava13', 'HarshCasper']",5 days 00:56:36.000000000,435396.0
582,344,582,https://github.com//HarshCasper/Rotten-Scripts/pull/215,Merged,"['mbcse', 'HarshCasper']",0 days 12:29:10.000000000,44950.0
583,345,583,https://github.com//HarshCasper/Rotten-Scripts/pull/210,Merged,"['Namyalg', 'HarshCasper']",108 days 16:59:34.000000000,9392374.0
584,346,584,https://github.com//HarshCasper/Rotten-Scripts/pull/209,Merged,"['AdityaJ7', 'HarshCasper']",2 days 23:49:37.000000000,258577.0
585,347,585,https://github.com//HarshCasper/Rotten-Scripts/pull/208,Merged,"['avishmehta68710', 'HarshCasper']",3 days 16:56:54.000000000,320214.0
586,348,586,https://github.com//HarshCasper/Rotten-Scripts/pull/207,Merged,"['AkM-2018', 'HarshCasper']",3 days 00:44:28.000000000,261868.0
587,349,587,https://github.com//HarshCasper/Rotten-Scripts/pull/206,Merged,"['avinashkranjan', 'HarshCasper']",3 days 03:02:46.000000000,270166.0
588,350,588,https://github.com//HarshCasper/Rotten-Scripts/pull/205,Merged,"['HeroicHitesh', 'HarshCasper']",1 days 01:11:02.000000000,90662.0
589,351,589,https://github.com//HarshCasper/Rotten-Scripts/pull/200,Merged,"['HeroicHitesh', 'HarshCasper']",0 days 06:33:08.000000000,23588.0
590,352,590,https://github.com//HarshCasper/Rotten-Scripts/pull/199,Merged,"['mbcse', 'HarshCasper']",1 days 21:12:56.000000000,162776.0
592,353,592,https://github.com//HarshCasper/Rotten-Scripts/pull/195,Merged,"['Namyalg', 'HarshCasper']",7 days 22:32:14.000000000,685934.0
593,354,593,https://github.com//HarshCasper/Rotten-Scripts/pull/192,Merged,"['srimani-programmer', 'HarshCasper']",2 days 11:12:44.000000000,213164.0
594,355,594,https://github.com//HarshCasper/Rotten-Scripts/pull/190,Merged,"['srimani-programmer', 'HarshCasper']",2 days 11:53:52.000000000,215632.0
595,356,595,https://github.com//HarshCasper/Rotten-Scripts/pull/189,Merged,"['srimani-programmer', 'HarshCasper']",2 days 14:07:36.000000000,223656.0
596,357,596,https://github.com//HarshCasper/Rotten-Scripts/pull/187,Merged,"['srimani-programmer', 'HarshCasper']",2 days 14:33:44.000000000,225224.0
599,358,599,https://github.com//HarshCasper/Rotten-Scripts/pull/182,Merged,"['Prahitha', 'HarshCasper']",0 days 08:52:36.000000000,31956.0
600,359,600,https://github.com//HarshCasper/Rotten-Scripts/pull/181,Merged,['HarshCasper'],0 days 00:02:15.000000000,135.0
601,360,601,https://github.com//HarshCasper/Rotten-Scripts/pull/180,Merged,"['seema1711', 'HarshCasper']",0 days 11:20:02.000000000,40802.0
602,361,602,https://github.com//HarshCasper/Rotten-Scripts/pull/179,Merged,"['Gaushikmr', 'HarshCasper']",1 days 08:47:59.000000000,118079.0
605,362,605,https://github.com//HarshCasper/Rotten-Scripts/pull/175,Merged,"['mohitacecode', 'HarshCasper']",3 days 07:03:28.000000000,284608.0
606,363,606,https://github.com//HarshCasper/Rotten-Scripts/pull/173,Merged,"['mohitacecode', 'HarshCasper']",3 days 07:50:54.000000000,287454.0
607,364,607,https://github.com//HarshCasper/Rotten-Scripts/pull/172,Merged,"['mohitacecode', 'HarshCasper']",3 days 11:05:15.000000000,299115.0
608,365,608,https://github.com//HarshCasper/Rotten-Scripts/pull/170,Merged,"['Sanketwable', 'HarshCasper']",10 days 13:03:13.000000000,910993.0
609,366,609,https://github.com//HarshCasper/Rotten-Scripts/pull/169,Merged,"['Anushka-S10', 'HarshCasper']",6 days 23:28:37.000000000,602917.0
611,367,611,https://github.com//HarshCasper/Rotten-Scripts/pull/163,Merged,['HarshCasper'],0 days 00:05:54.000000000,354.0
612,368,612,https://github.com//HarshCasper/Rotten-Scripts/pull/162,Merged,"['Prahitha', 'HarshCasper']",1 days 07:28:54.000000000,113334.0
613,369,613,https://github.com//HarshCasper/Rotten-Scripts/pull/160,Merged,"['Sanketwable', 'HarshCasper']",3 days 13:50:19.000000000,309019.0
614,370,614,https://github.com//HarshCasper/Rotten-Scripts/pull/159,Merged,"['azhanali', 'HarshCasper']",3 days 17:26:04.000000000,321964.0
615,371,615,https://github.com//HarshCasper/Rotten-Scripts/pull/158,Merged,"['Namyalg', 'HarshCasper']",4 days 13:09:53.000000000,392993.0
618,372,618,https://github.com//HarshCasper/Rotten-Scripts/pull/153,Merged,"['srimani-programmer', 'HarshCasper']",5 days 11:21:46.000000000,472906.0
619,373,619,https://github.com//HarshCasper/Rotten-Scripts/pull/151,Merged,"['AnkitaxPriya', 'HarshCasper']",1 days 21:22:25.000000000,163345.0
620,374,620,https://github.com//HarshCasper/Rotten-Scripts/pull/150,Merged,"['Prahitha', 'HarshCasper']",0 days 14:37:12.000000000,52632.0
621,375,621,https://github.com//HarshCasper/Rotten-Scripts/pull/149,Merged,"['Namyalg', 'HarshCasper']",1 days 20:09:07.000000000,158947.0
622,376,622,https://github.com//HarshCasper/Rotten-Scripts/pull/148,Merged,"['srimani-programmer', 'HarshCasper']",1 days 21:40:29.000000000,164429.0
623,377,623,https://github.com//HarshCasper/Rotten-Scripts/pull/146,Merged,"['Namyalg', 'HarshCasper']",2 days 01:46:46.000000000,179206.0
624,378,624,https://github.com//HarshCasper/Rotten-Scripts/pull/145,Merged,"['seema1711', 'HarshCasper']",4 days 17:34:34.000000000,408874.0
625,379,625,https://github.com//HarshCasper/Rotten-Scripts/pull/143,Merged,"['mohitacecode', 'HarshCasper']",0 days 06:22:24.000000000,22944.0
626,380,626,https://github.com//HarshCasper/Rotten-Scripts/pull/142,Merged,"['srimani-programmer', 'HarshCasper']",0 days 08:09:28.000000000,29368.0
627,381,627,https://github.com//HarshCasper/Rotten-Scripts/pull/141,Merged,"['Anushka-S10', 'HarshCasper']",14 days 22:14:31.000000000,1289671.0
628,382,628,https://github.com//HarshCasper/Rotten-Scripts/pull/140,Merged,"['HeroicHitesh', 'HarshCasper']",0 days 12:43:48.000000000,45828.0
629,383,629,https://github.com//HarshCasper/Rotten-Scripts/pull/136,Merged,"['seema1711', 'HarshCasper']",2 days 20:01:00.000000000,244860.0
630,384,630,https://github.com//HarshCasper/Rotten-Scripts/pull/123,Merged,['HarshCasper'],0 days 00:01:35.000000000,95.0
631,385,631,https://github.com//HarshCasper/Rotten-Scripts/pull/122,Merged,"['mbcse', 'HarshCasper']",0 days 11:01:55.000000000,39715.0
632,386,632,https://github.com//HarshCasper/Rotten-Scripts/pull/121,Merged,"['Prahitha', 'HarshCasper']",0 days 19:50:49.000000000,71449.0
633,387,633,https://github.com//HarshCasper/Rotten-Scripts/pull/119,Merged,"['Namyalg', 'HarshCasper']",4 days 03:55:32.000000000,359732.0
634,388,634,https://github.com//HarshCasper/Rotten-Scripts/pull/118,Merged,"['deepraj1729', 'HarshCasper']",2 days 05:18:16.000000000,191896.0
636,389,636,https://github.com//HarshCasper/Rotten-Scripts/pull/116,Merged,"['HeroicHitesh', 'HarshCasper']",166 days 22:47:16.000000000,14424436.0
640,390,640,https://github.com//HarshCasper/Rotten-Scripts/pull/108,Merged,['HarshCasper'],69 days 00:36:11.000000000,5963771.0
641,391,641,https://github.com//HarshCasper/Rotten-Scripts/pull/107,Merged,['HarshCasper'],0 days 00:00:35.000000000,35.0
642,392,642,https://github.com//HarshCasper/Rotten-Scripts/pull/105,Merged,"['Namyalg', 'HarshCasper']",5 days 13:45:15.000000000,481515.0
643,393,643,https://github.com//HarshCasper/Rotten-Scripts/pull/104,Merged,"['HeroicHitesh', 'HarshCasper']",0 days 19:15:44.000000000,69344.0
644,394,644,https://github.com//HarshCasper/Rotten-Scripts/pull/103,Merged,"['seema1711', 'HarshCasper']",1 days 07:46:34.000000000,114394.0
645,395,645,https://github.com//HarshCasper/Rotten-Scripts/pull/102,Merged,"['Sanketwable', 'HarshCasper']",1 days 12:17:45.000000000,130665.0
647,396,647,https://github.com//HarshCasper/Rotten-Scripts/pull/100,Merged,"['Anushka-S10', 'HarshCasper']",10 days 18:18:22.000000000,929902.0
648,397,648,https://github.com//HarshCasper/Rotten-Scripts/pull/99,Merged,"['srimani-programmer', 'HarshCasper']",2 days 21:47:55.000000000,251275.0
649,398,649,https://github.com//HarshCasper/Rotten-Scripts/pull/98,Merged,['HarshCasper'],70 days 22:27:55.000000000,6128875.0
650,399,650,https://github.com//HarshCasper/Rotten-Scripts/pull/97,Merged,['HarshCasper'],0 days 00:05:57.000000000,357.0
651,400,651,https://github.com//HarshCasper/Rotten-Scripts/pull/96,Merged,"['mohitacecode', 'HarshCasper']",2 days 11:03:36.000000000,212616.0
652,401,652,https://github.com//HarshCasper/Rotten-Scripts/pull/95,Merged,"['mohitacecode', 'HarshCasper']",1 days 09:59:09.000000000,122349.0
653,402,653,https://github.com//HarshCasper/Rotten-Scripts/pull/94,Merged,"['HeroicHitesh', 'HarshCasper']",2 days 13:55:51.000000000,222951.0
654,403,654,https://github.com//HarshCasper/Rotten-Scripts/pull/93,Merged,"['Puneet-Pal-Singh', 'HarshCasper']",2 days 13:53:38.000000000,222818.0
656,404,656,https://github.com//HarshCasper/Rotten-Scripts/pull/91,Merged,['HarshCasper'],0 days 00:01:32.000000000,92.0
657,405,657,https://github.com//HarshCasper/Rotten-Scripts/pull/90,Merged,['HarshCasper'],0 days 00:01:15.000000000,75.0
658,406,658,https://github.com//HarshCasper/Rotten-Scripts/pull/89,Merged,['HarshCasper'],73 days 15:56:01.000000000,6364561.0
659,407,659,https://github.com//HarshCasper/Rotten-Scripts/pull/88,Merged,['HarshCasper'],73 days 15:57:58.000000000,6364678.0
660,408,660,https://github.com//HarshCasper/Rotten-Scripts/pull/87,Merged,['HarshCasper'],73 days 16:01:42.000000000,6364902.0
661,409,661,https://github.com//HarshCasper/Rotten-Scripts/pull/86,Merged,['HarshCasper'],0 days 00:01:46.000000000,106.0
662,410,662,https://github.com//HarshCasper/Rotten-Scripts/pull/85,Merged,['HarshCasper'],0 days 00:01:11.000000000,71.0
663,411,663,https://github.com//HarshCasper/Rotten-Scripts/pull/84,Merged,['HarshCasper'],0 days 00:00:54.000000000,54.0
664,412,664,https://github.com//HarshCasper/Rotten-Scripts/pull/83,Merged,"['seema1711', 'HarshCasper']",73 days 16:10:13.000000000,6365413.0
665,413,665,https://github.com//HarshCasper/Rotten-Scripts/pull/82,Merged,['HarshCasper'],0 days 00:01:02.000000000,62.0
666,414,666,https://github.com//HarshCasper/Rotten-Scripts/pull/81,Merged,['HarshCasper'],0 days 00:01:52.000000000,112.0
667,415,667,https://github.com//HarshCasper/Rotten-Scripts/pull/80,Merged,['HarshCasper'],0 days 00:01:11.000000000,71.0
668,416,668,https://github.com//HarshCasper/Rotten-Scripts/pull/79,Merged,['HarshCasper'],0 days 00:07:46.000000000,466.0
669,417,669,https://github.com//HarshCasper/Rotten-Scripts/pull/78,Merged,['HarshCasper'],0 days 00:00:16.000000000,16.0
670,418,670,https://github.com//HarshCasper/Rotten-Scripts/pull/77,Merged,"['mbcse', 'HarshCasper']",0 days 02:22:01.000000000,8521.0
671,419,671,https://github.com//HarshCasper/Rotten-Scripts/pull/67,Merged,"['seema1711', 'HarshCasper']",0 days 07:40:09.000000000,27609.0
672,420,672,https://github.com//HarshCasper/Rotten-Scripts/pull/66,Merged,"['Namyalg', 'HarshCasper', 'sanket143']",3 days 22:18:22.000000000,339502.0
673,421,673,https://github.com//HarshCasper/Rotten-Scripts/pull/65,Merged,"['AnkitaxPriya', 'HarshCasper']",1 days 21:59:03.000000000,165543.0
674,422,674,https://github.com//HarshCasper/Rotten-Scripts/pull/64,Merged,"['Namyalg', 'HarshCasper']",3 days 04:52:01.000000000,276721.0
675,423,675,https://github.com//HarshCasper/Rotten-Scripts/pull/63,Merged,"['Prahitha', 'HarshCasper']",2 days 10:13:32.000000000,209612.0
677,424,677,https://github.com//HarshCasper/Rotten-Scripts/pull/57,Merged,"['srimani-programmer', 'HarshCasper']",0 days 14:06:31.000000000,50791.0
679,425,679,https://github.com//HarshCasper/Rotten-Scripts/pull/55,Merged,"['mohitacecode', 'HarshCasper']",1 days 13:12:29.000000000,133949.0
680,426,680,https://github.com//HarshCasper/Rotten-Scripts/pull/54,Merged,"['seema1711', 'HarshCasper']",1 days 17:45:36.000000000,150336.0
681,427,681,https://github.com//HarshCasper/Rotten-Scripts/pull/52,Merged,"['AnkitaxPriya', 'HarshCasper']",1 days 23:57:35.000000000,172655.0
683,428,683,https://github.com//HarshCasper/Rotten-Scripts/pull/46,Merged,"['Namyalg', 'HarshCasper']",0 days 19:43:16.000000000,70996.0
684,429,684,https://github.com//HarshCasper/Rotten-Scripts/pull/45,Merged,"['srimani-programmer', 'HarshCasper']",0 days 20:49:48.000000000,74988.0
685,430,685,https://github.com//HarshCasper/Rotten-Scripts/pull/44,Merged,"['Prahitha', 'HarshCasper']",0 days 10:36:21.000000000,38181.0
686,431,686,https://github.com//HarshCasper/Rotten-Scripts/pull/43,Merged,"['Sanketwable', 'HarshCasper']",0 days 10:48:39.000000000,38919.0
687,432,687,https://github.com//HarshCasper/Rotten-Scripts/pull/42,Merged,"['sanket143', 'HarshCasper']",1 days 12:39:09.000000000,131949.0
688,433,688,https://github.com//HarshCasper/Rotten-Scripts/pull/28,Merged,"['seema1711', 'HarshCasper']",7 days 12:28:24.000000000,649704.0
689,434,689,https://github.com//HarshCasper/Rotten-Scripts/pull/27,Merged,"['AnkitaxPriya', 'HarshCasper']",0 days 21:11:23.000000000,76283.0
690,435,690,https://github.com//HarshCasper/Rotten-Scripts/pull/26,Merged,"['mbcse', 'HarshCasper']",1 days 03:20:38.000000000,98438.0
691,436,691,https://github.com//HarshCasper/Rotten-Scripts/pull/25,Merged,['HarshCasper'],12 days 04:51:44.000000000,1054304.0
692,437,692,https://github.com//HarshCasper/Rotten-Scripts/pull/24,Merged,"['sanket143', 'HarshCasper']",1 days 21:47:42.000000000,164862.0
693,438,693,https://github.com//HarshCasper/Rotten-Scripts/pull/20,Merged,"['mbcse', 'HarshCasper']",0 days 02:01:15.000000000,7275.0
694,439,694,https://github.com//HarshCasper/Rotten-Scripts/pull/16,Merged,"['sanket143', 'HarshCasper']",1 days 00:14:54.000000000,87294.0
695,440,695,https://github.com//HarshCasper/Rotten-Scripts/pull/15,Merged,"['seema1711', 'HarshCasper']",0 days 00:23:10.000000000,1390.0
696,441,696,https://github.com//HarshCasper/Rotten-Scripts/pull/7,Merged,"['seema1711', 'HarshCasper']",83 days 13:54:21.000000000,7221261.0
